Nº Judicial;Nº ALERJ;Apensos;Origem;Ação;Relator;Autor;Réu;Objeto;Mérito;Liminar;Recurso;Procurador;Estagiário;Andamento;Tipo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0042606-19.2015.8.19.0000;Alerj n é parte;;;;;ASSOCIAÇÃO NACIONAL DO MINISTÉRIO PÚBLICO DE CONTAS AMPCON / ASSOCIAÇÃO DOS MEMBROS DOS TRIBUNAIS DE CONTAS DO BRASIL ATRICON  ;CÂMARA MUNICIPAL DO MUNICÍPIO DO RIO DE JANEIRO;Trata-se de Representação por Inconstitucionalidade, autuada como Direta de Inconstitucionalidade, proposta por ASSOCIAÇÃO NACIONAL DO MINISTÉRIO PÚBLICO DE CONTAS - AMPCON e ASSOCIAÇÃO DOS MEMBROS DOS TRIBUNAIS DE CONTAS DO BRASIL - ATRICON, pretendendo a respectiva declaração em face da Emenda nº 26, de 16/07/2014, à Lei Orgânica do Município do Rio de Janeiro, que alterou os §§ 2º e 6º, do art. 91, do referido Diploma, modificando a ordem originária de escolha dos Conselheiros da Corte de Contas, alterando a competência dos Poderes (Executivo/Legislativo) e estabelecendo uma nova ordem para provimento dos cargos.;;Deferida;;;Isabela;Pauta: Sessão dia 18/07/16;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0019335-44.2016.8.19.0000;Alerj n é parte;;TJRJ;RI;;Câmara Municipal do Rio de Janeiro;JEFFERSON DAVIDSON DIAS DE MOURA; CPI dos Recursos e benefícios fiscais relacionados com a realização dos Jogos Olímpicos de 2016;;;;;Larissa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5562;ALERJ não é parte. Manter informações sobre decisão (liminar ou acórdão);;STF;ADI;"MIN. LUIZ FUX
";"GOVERNADOR DO ESTADO DO RIO GRANDE DO SUL 
";"ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL 
";"Promovida em face das Leis Estaduais nsº 14910, de 18 de julho de 2016; 14911, de 18 de julho  de
2016; 14912, de 18 de julho de 2016; 14913, de 18 de julho de 2016 e  14914,  de
18 de julho de 2016, todas do Estado do Rio Grande do Sul, que Recompõe os vencimentos dos  servidores  do  Poder
                              Judiciário Estadual e  Dispõe sobre a recomposição  dos  vencimentos  dos
                              servidores da Defensoria Pública do Estado do  Rio
                              Grande do Sul.";;Indeferida;;;Larissa;04/08/2016: Decisão de 27/07/2016 (DJE nº 163, divulgado em 03/08/2016)  - Indeferimento do pedido liminar - 25/08/2016 - 30/08 - Publicação - 19/209  ;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5565;"ALERJ não é parte : Informar H.A das decisões judiciais e parecer do MP e AGU.
 ";;STF;ADI;"MIN. LUIZ FUX
";"DISTRITO FEDERAL 
";"RECEITA FEDERAL DO BRASIL 
";"Promovida em face  do § 007° do art. 006° da Instrução Normativa RFB n° 1599, de 11  de  dezembro
de 2015 (com redação imposta pela IN RFB n° 1646, de 30 de maio de 2016,  e  das
Soluções de Consulta n° 166-COSIT-RFB, de 2015 e  n°  028-COSIT-RFB,  de  29  de
março de 2016.
     Instrução Normativa RFB nº 1599, de 11 de dezembro de 2015
                             Dispõe sobre a Declaração de Débitos e Créditos
                             Tributários Federais (DCTF).";;;;;Larissa;;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0038897-39.2016.8.19.0000;Ainda Não Recebemos Ofício;;TJRJ - OE;MS;"DES. REINALDO PINTO ALBERTO FILHO
";"BENEVENUTO DACIOLO FONSECA DOS SANTOS
";"PRESIDENTE DA ASSEMBLEIA LEGISTTIVA DO ESTADO DO RIO DE JANEIRO
";"Mandado de Segurança.
Deputado Federal que apresenta pedido de instauração de
procedimento para apuração da prática de suposto crime de
responsabilidade pelo Exmo. Sr. Governador do Estado.
Alegação autoral sustentando a existência de conduta omissiva
do Presidente da ALERJ com relação a não apreciação quanto à
admissibilidade do pleito. ";;;;;Larissa;"Intimação Eletrônica - MINISTERIO PUBLICO Ciência
02/08/201610/08/2016 Intimação Eletrônica - MINISTERIO PUBLICO Ciência
";ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5577;ALERJ não é parte;;STF;ADI;"MIN. ROSA WEBER
";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO - PRTB 
";"CONGRESSO NACIONAL 
";" Promovida em face da A expressão ""superior a nova Deputados"" no art. 046, ""caput"" da Lei Federal
nº 9504, de 30 de setembro de 1997, com redação dada pela Lei nº 13165, de 29 de
setembro de 2015.
     Lei n° 9504, de 30 de setembro de 1997
                                Estabelece normas para as eleições.";;;;;Larissa;05/09/2016: Ata de Julgamento Publicada, DJE  ;ELETRÔNICOI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5525;ALERJ NÃO É PARTE;;STF;ADI;"MIN. ROBERTO BARROSO
";"PROCURADOR-GERAL DA REPÚBLICA 
";"PRESIDENTE DA REPÚBLICA 
 / CONGRESSO NACIONAL 
";"Artigo 004° da Lei n° 13165, de 29 de setembro de 2015, que altera o  Código
Eleitoral (Lei 4737, de 15 de julho de 1965), no trecho em  que  incluiu  os  §§
003° e 004° no seu art. 224.";;;;;Larissa;05/04/2017: CERTIDÃO DE DECURSO DE PRAZO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5509;ALERJ NÃO É PARTE;;STF;ADI;"MIN. EDSON FACHIN
";"PROCURADOR-GERAL DA REPÚBLICA 
";"GOVERNADOR DO ESTADO DO CEARÁ 
 / ASSEMBLEIA LEGISLATIVA DO ESTADO DO CEARÁ 
";"Arts. 076, § 005°, e 078, § 007°, da Constituição do Estado do Ceará, arts.
035-A, 035-B, 035-C e 035-D da Lei n° 12160, de 04 de agosto de 1993, acrescidos
pela Lei n° 15516, de 06 de janeiro de 2014, do Estado do Ceará
";;;;;Larissa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0007653-48.2015.8.19.0026;7529/2017;;;RI;;SINDICATO DO COMÉRCIO VAREJISTA DE ITAPERUNA /  PAULINO PAULA DA ROCHA;"ALERJ / GOV ERJ / SECRETARIA DA FAZENDA
";;;;;;Priscila;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5617;ALERJ não é parte;Informar apenas decisões;STF;ADI;"MIN. EDSON FACHIN
";"PROCURADOR-GERAL DA REPÚBLICA 
";"PRESIDENTE DA REPÚBLICA /  ADVOGADO-GERAL DA UNIÃO 
";Promovida em face do Art. 9 da  Lei 13165/2015 que dispoõe sobre a destinação recursos fundo partidário;;;;;Acompanhamento Diário;28/11/2016: Vista AGU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5612;ALERJ não é parte;Informar apenas decisões;STF;ADI;"MIN. EDSON FACHIN
";"CONSELHO FEDERAL DA ORDEM DOS ADVOGADOS DO BRASIL - CFOAB 
";"GOVERNADOR DO ESTADO DE SÃO PAULO  
 / ASSEMBLEIA LEGISLATIVA DO ESTADO DE SÃO PAULO 
"; Promovida em face do Artigo 004º, inciso 0II da Lei Estadual nº 15.855, de 2 de julho de  2015, do Estado de São Paulo. A Lei n° 15855, de 02 de julho de 2015 Altera a Lei nº 11331, de 26 de dezembro de 2002, que dispõe sobre  os  emolumentos  relativos  aos atos praticados pelos  serviços  notariais  e  de registro, e a Lei nº 11608, de 29 de dezembro  de 2003,  que  dispõe  sobre   a   Taxa   Judiciária  incidente sobre os serviços públicos de  natureza   forense.;;;;;Acompanhamento Diário;1/11/2016: Vista ao AGU ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0057920-68.2016.8.19.0000;1144/2017;;TJRJ- OE;RI;"DES. MARCOS ALCINO DE AZEVEDO TORRES
";"EXMO SR PROCURADOR GERAL DE JUSTIÇA DO ESTADO DO RIO DE JANEIRO
";ALERJ / GOV ERJ;"
Promovida em face da Lei 6998 de 08 de maio de 2015 do ERJ, que dispõe sobre o direito à objeção de consciência como escusa ao princípio constitucional insculpido no artigo 9º, §1º da Constituição Estadual.
Autoria: Ricardo Abrão e Luiz Paulo
  
";;;;;Isabela;22/02/2017: Intimação eletrônica;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0016661-59.2017.8.19.0000;6721/2017;;TJRJ -OE;MS;ALERJ;GOVERNO DO ESTADO;;MS COM PEDIDO DE LIMINAR CONTRA ATO OMISSO DO CHEFE PODER EXECUTIVO DO ESTADO DO RIO DE JANEIRO, REFERENTE AO repasses ao legislativo - duodécimo;;;;;Luma;03/05/17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0046461-69.2016.8.19.0000;ALERJ não é parte;;;;;;;;;;;;Acompanhamento Diário;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RE 848826  ;ALERJ não é parte;;STF;RE;"MIN. ROBERTO BARROSO
";"JOSÉ ROCHA NETO 
";"MINISTÉRIO PÚBLICO ELEITORAL 
";;;;;;Acompanhamento Diário;03/06/2017: Juntada petição;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RE 729744 ;ALERJ não é parte;;STF;RE;"MIN. GILMAR MENDES
";MINISTÉRIO PÚBLICO ELEITORAL ;JORDÃO VIANA TEIXEIRA ;;;;;;Acompanhamento Diário;23/08/2016: Ata de Julgamento Publicada, DJE - 09/09  Juntada  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0041378-72.2016.8.19.0000;1820/2017;;TJRJ- OE;;"DES. CLAUDIO BRANDAO DE OLIVEIRA
";"FEDERAÇÃO DAS INDÚSTRIAS DO ESTADO DO RIO DE JANEIRO FIRJAN
";"ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO / GOV ERJ
";"Promovida em face da Lei 7328 DO ANO DE 2016 DO ESTADO DO RIO DE JANEIRO, QUE ALTERA A LEI 4946, DE 20 DE DEZEMBRO DE 2006, QUE DISPÕE SOBRE A OBRICATORIEDADE DA UTILIZAÇÃO DE LACRES DE SEGURANÇA NAS EMBALAGENS DOS PRODUTOS FABRICADOS PELA INDÚRTRIA DE COSMÉTICOS QUE SÃO COMERCIALIZADOS NO ESTADO DO RIO DE JANEIRO.
AUTORIA: CIDINHA CAMPOS
";;;;;Luiz;10/02/2017: Ao Relator;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5600;ALERJ não é parte;;STF;ADI;MINISTRO EDSON FACHIN; ASSOCIAÇÃO DOS MAGISTRADOS BRASILEIROS - AMB ;ASSEMBLEIA LEGISLATIVA DO ESTADO DO ACRE, GOVERNADOR DO ESTADO DO ACRE;"Promovida em face da Lei n° 3166, de 21 de setembro de 2016
Dispõe sobre a utilização de depósitos judiciais em dinheiro, tributários
e não tributários realizados em processos vinculados ao Tribunal de
Justiça do Estado do Acre.";;;;;Acompanhamento Diário; Manifestação - Petição;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0024413-19.2016.8.19.0000;ALERJ não é parte;;TJRJ;AI;"DES. MARCO AURELIO BEZERRA DE MELO
";"ESTADO DO RIO DE JANEIRO
 /  FUNDO UNICO DE PREVIDENCIA SOCIAL DO ESTADO DO RIO DE JANEIRO RIOPREVIDENCIA";"ASSOCIAÇÃO DOS SERVIDORES DA ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO
";;;;;;Acompanhamento Diário;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0016539-46.2017.8.19.0000;8235/2017;;TJRJ;RI;"DES. GABRIEL DE OLIVEIRA ZEFIRO
";"EXMO SR GOVERNADOR DO ESTADO DO RIO DE JANEIRO
";"EXMO SR PRESIDENTE DA ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO
";PROMOVIDA EM FACE DA LEI 7426  DE 2016 DO ERJ QUE ALTERA A LEI Nº 6701/2014, PARA APERFEIÇOAR A CARREIRA TÉCNICO-ADMINISTRATIVA DA UERJ, E DÁ OUTRAS PROVIDÊNCIAS;;;;;Priscila;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0115814-96.2016.8.19.0001;ALERJ não é parte;;TJRJ;MS ;"JEFFERSON DAVIDSON DIAS DE MOURA
";"JORGE MIGUEL FELIPPE
";;;;;;;Acompanhamento Diário;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 0407299-96.2016.8.19.0001;ALERJ não é parte;0065243-27.2016.8.19.0000 ;TJRJ;MS;;CENTRO INDUSTRIAL DO RIO DE JANEIRO  - CIRJ;"SUBSECRETARIO ADJUNTO DE FISCALIZAÇAO DO ESTADO DO RIO DE JANEIRO
";(RI 0063240-02.2016.8.19.0000 e ADI 5635 tratam da mesma lei) FEEF;;"Pedido liminar deferido, para suspender a exigibilidade da
exação.
";;;Acompanhamento Diário;05/04/2017: Vista;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0063240-02.2016.8.19.0000;1661/2017;;TJRJ- OE;RI;"DES. CUSTODIO DE BARROS TOSTES
";"FEDERAÇÃO DO COMÉRCIO DE BENS SERVIÇOS E TURISMO DO ESTADO DO RIO DE JANEIRO FECOMÉRCIO RJ
";"EXMO SR GOVERNADOR DO ESTADO DO RIO DE JANEIRO
";"Promovida me face da LEI  7428 DO ERJ
LEGISLAÇÃO DECRETO  45810 DO ANO DE 2016 DO ERJ    ( ADI 5635 trata da  mesma lei e MS  0407299-96.2016.8.19.0001) FEEF";;Pedido Liminar deferido para para suspender a exigibilidade da exação;;Dra Fátima Maria Amaral;Luiz;15/05/2017: Em mesa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5630;ALERJ não é parte;;STF;ADI;Min. Gilmar Mendes;CENTRAL DOS SINDICATOS BRASILEIROS - CSB ;ASSEMBLEIA LEGISLATIVA DO ESTADO DO TOCANTINS ;" Artigo 014 da Lei n°  2409,  de  16  de  novembro  de  2010,  do  Estado  de
Tocantins.";;;;;Acompanhamento Diário;24/02/2017 : petição / manifestação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5635;4534/2017;;STF;ADI;"MIN. ROBERTO BARROSO
";"CONFEDERACÃO NACIONAL DA INDÚSTRIA 
";ALERJ / Gov. ERJ;"Promovda em face do Arts. 002°, 004°, ""caput"" e 00I e 005° da Lei n° 7428, de 25 de agosto de 2016, e por arrastamento o Decreto n° 45810, de 2016, ambos do Estado do Rio de Janeiro.
    Lei n° 7428, de 25 de agosto de 2016
    Institui o Fundo Estadual de Equilíbrio Fiscal do Estado do Rio de Janeiro. FEEF  ( A RI  0063240-02.2016.8.19.0000 trata da mesma lei e MS  0063240-02.2016.8.19.0000)";;;;;Luiz;10/04/2017: Parecer AGU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9904920138190060;1154/2014(apensado ao 2166/07 e 13542/12);;TJRJ - 13ª V.F.P;AÇÃO DE COBRANÇA;Juíza Luciana Losada Albuquerque Lopes;MUNICÍPIO DE SUMIDOURO E OUTRO(S);ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO - ALERJ; Trata-se de Ação de Cobrança  em que é o Requerente o MUNiCÍPIO DE SUMIDOURO e a Requerida é a  ALERJ, objetivando em síntese a obrigação de fazer por parte da Alerj no sentido de arcar com o ônus de pagar o funcionário originário da parte requerenrte, pois a requerida seria cessionária).;"Despacho da Dra Denise em 18/03/2016 : "" Face aos excelentes relatórios elaborados às fls 67 e 67 vrs., ratifico o entendimento qto à desnecessidade de acompanhamento do presente processo, eis que a ALERJ foi excluida do polo passivo.""
Desta forma, o processo passa a estar arquivado nesta Secretaria.
";;;;Priscila;28/12/2015 - juntada de ofício - Arquivado ( levar para planilha arq.);FÍSICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
